1.51514,2.68,3.50,1.68,2.20,0.00
1.51915,1.85,1.86,0.60,0.00,0.00
1.52171,1.88,1.56,0.47,0.00,0.00
1.52151,1.71,1.56,0.58,0.00,0.00
1.51969,0.00,1.65,0.38,0.00,0.00
1.51666,0.00,1.83,0.97,0.00,0.00
1.51994,0.00,1.76,0.47,0.00,0.00
1.52369,0.00,1.58,0.32,0.00,0.00
1.51316,0.00,3.04,6.21,0.00,0.00
1.51321,0.00,3.02,6.21,0.00,0.00
1.52043,0.00,1.40,0.33,0.00,0.00
1.52058,1.61,2.17,0.76,0.24,0.51
1.52119,0.33,1.51,0.13,0.00,0.28
1.51905,2.39,1.56,0.00,0.00,0.00
1.51937,2.41,1.19,0.00,0.00,0.00
1.51829,2.24,1.62,0.00,0.00,0.00
1.51852,2.19,1.66,0.00,0.00,0.00
1.51299,1.74,1.54,0.00,0.00,0.00
1.51888,0.78,1.74,0.00,0.00,0.00
1.51916,0.00,2.09,0.00,0.00,0.00
1.51969,0.00,0.56,0.00,0.00,0.00
1.51115,0.00,0.34,0.00,0.00,0.00
1.51131,3.20,1.81,1.76,1.19,0.00
1.51838,3.26,2.22,1.46,1.63,0.00
1.52315,3.34,1.23,0.60,0.00,0.00
1.52247,2.20,2.06,0.76,0.00,0.00
1.52365,1.83,1.31,0.31,1.68,0.00
1.51613,1.78,1.79,0.00,0.76,0.00
1.51602,0.00,2.38,0.00,0.64,0.09
1.51623,0.00,2.79,0.04,0.40,0.09
1.51719,0.00,2.00,0.00,1.59,0.08
1.51683,0.00,1.98,0.00,1.57,0.07
1.51545,0.00,2.68,0.08,0.61,0.05
1.51556,0.00,2.54,0.14,0.81,0.01
1.51727,0.00,2.34,0.00,0.66,0.00
1.51531,0.00,2.66,0.04,0.64,0.00
1.51609,0.00,2.51,0.05,0.53,0.00
1.51508,0.00,2.25,0.00,0.63,0.00
1.51653,0.00,1.19,2.70,0.00,0.00
1.51514,0.00,2.42,0.00,0.56,0.00
1.51658,0.00,1.99,0.00,1.71,0.00
1.51617,0.00,2.27,0.00,0.67,0.00
1.51732,0.00,1.80,0.00,1.55,0.00
1.51645,0.00,1.87,0.00,1.38,0.00
1.51831,0.00,1.82,1.41,2.88,0.00
1.51640,0.00,2.74,0.00,0.54,0.00
1.51623,0.00,2.88,0.08,1.06,0.00
1.51685,0.00,1.99,0.00,1.59,0.00
1.52065,0.00,2.02,0.00,1.64,0.00
1.51651,0.00,1.94,0.00,1.57,0.00
1.51711,0.00,2.08,0.00,1.67,0.00
