1.52101,13.64,4.49,1.10,0.06,8.75
1.51761,13.89,3.60,1.36,0.48,7.83
1.51618,13.53,3.55,1.54,0.39,7.78
1.51766,13.21,3.69,1.29,0.57,8.22
1.51742,13.27,3.62,1.24,0.55,8.07
1.51596,12.79,3.61,1.62,0.64,8.07
1.51743,13.30,3.60,1.14,0.58,8.17
1.51756,13.15,3.61,1.05,0.57,8.24
1.51918,14.04,3.58,1.37,0.56,8.30
1.51755,13.00,3.60,1.36,0.57,8.40
1.51571,12.72,3.46,1.56,0.67,8.09
1.51763,12.80,3.66,1.27,0.60,8.56
1.51589,12.88,3.43,1.40,0.69,8.05
1.51748,12.86,3.56,1.27,0.54,8.38
1.51763,12.61,3.59,1.31,0.58,8.50
1.51761,12.81,3.54,1.23,0.58,8.39
1.51784,12.68,3.67,1.16,0.61,8.70
1.52196,14.36,3.85,0.89,0.15,9.15
1.51911,13.90,3.73,1.18,0.06,8.89
1.51735,13.02,3.54,1.69,0.54,8.44
1.51750,12.82,3.55,1.49,0.54,8.52
1.51966,14.77,3.75,0.29,0.03,9.00
1.51736,12.78,3.62,1.29,0.59,8.70
1.51751,12.81,3.57,1.35,0.62,8.59
1.51720,13.38,3.50,1.15,0.50,8.43
1.51764,12.98,3.54,1.21,0.65,8.53
1.51793,13.21,3.48,1.41,0.59,8.43
1.51721,12.87,3.48,1.33,0.56,8.43
1.51768,12.56,3.52,1.43,0.57,8.54
1.51784,13.08,3.49,1.28,0.60,8.49
1.51768,12.65,3.56,1.30,0.61,8.69
1.51747,12.84,3.50,1.14,0.56,8.55
1.51775,12.85,3.48,1.23,0.61,8.56
1.51753,12.57,3.47,1.38,0.60,8.55
1.51783,12.69,3.54,1.34,0.57,8.75
1.51567,13.29,3.45,1.21,0.56,8.57
1.51909,13.89,3.53,1.32,0.51,8.78
1.51797,12.74,3.48,1.35,0.64,8.68
1.52213,14.21,3.82,0.47,0.11,9.57
1.52213,14.21,3.82,0.47,0.11,9.57
1.51793,12.79,3.50,1.12,0.64,8.77
1.51755,12.71,3.42,1.20,0.59,8.64
1.51779,13.21,3.39,1.33,0.59,8.59
1.52210,13.73,3.84,0.72,0.17,9.74
1.51786,12.73,3.43,1.19,0.62,8.76
1.51900,13.49,3.48,1.35,0.55,9.00
1.51869,13.19,3.37,1.18,0.57,8.83
1.52667,13.99,3.70,0.71,0.02,9.82
1.52223,13.21,3.77,0.79,0.13,10.02
1.51898,13.58,3.35,1.23,0.59,8.91
1.52320,13.72,3.72,0.51,0.09,10.06
1.51926,13.20,3.33,1.28,0.60,9.14
1.51808,13.43,2.87,1.19,0.55,9.03
1.51837,13.14,2.84,1.28,0.55,9.07
1.51778,13.21,2.81,1.29,0.51,9.02
1.51769,12.45,2.71,1.29,0.56,9.06
1.51215,12.99,3.47,1.12,0.62,8.35
1.51824,12.87,3.48,1.29,0.60,8.43
1.51754,13.48,3.74,1.17,0.59,8.03
1.51754,13.39,3.66,1.19,0.57,8.27
1.51905,13.60,3.62,1.11,0.14,8.76
1.51977,13.81,3.58,1.32,0.12,8.67
1.52172,13.51,3.86,0.88,0.23,9.54
1.52227,14.17,3.81,0.78,0.00,9.69
1.52172,13.48,3.74,0.90,0.18,9.61
1.52099,13.69,3.59,1.12,0.09,9.40
1.52152,13.05,3.65,0.87,0.19,9.85
1.52152,13.05,3.65,0.87,0.19,9.85
1.52152,13.12,3.58,0.90,0.23,9.82
1.52300,13.31,3.58,0.82,0.12,10.17
1.51769,13.65,3.66,1.11,0.11,8.60
1.51610,13.33,3.53,1.34,0.56,8.33
1.51670,13.24,3.57,1.38,0.56,8.44
1.51643,12.16,3.52,1.35,0.57,8.53
1.51665,13.14,3.45,1.76,0.60,8.38
1.52127,14.32,3.90,0.83,0.00,9.49
