1.51574,14.86,3.67,1.74,71.87,0.16,7.36
1.51848,13.64,3.87,1.27,71.96,0.54,8.32
1.51593,13.09,3.59,1.52,73.10,0.67,7.83
1.51631,13.34,3.57,1.57,72.87,0.61,7.89
1.51596,13.02,3.56,1.54,73.11,0.72,7.90
1.51590,13.02,3.58,1.51,73.12,0.69,7.96
1.51645,13.44,3.61,1.54,72.39,0.66,8.03
1.51627,13.00,3.58,1.54,72.83,0.61,8.04
1.51613,13.92,3.52,1.25,72.88,0.37,7.94
1.51590,12.82,3.52,1.90,72.86,0.69,7.97
1.51592,12.86,3.52,2.12,72.66,0.69,7.97
1.51593,13.25,3.45,1.43,73.17,0.61,7.86
1.51646,13.41,3.55,1.25,72.81,0.68,8.10
1.51594,13.09,3.52,1.55,72.87,0.68,8.05
1.51409,14.25,3.09,2.08,72.28,1.10,7.08
1.51625,13.36,3.58,1.49,72.72,0.45,8.21
1.51569,13.24,3.49,1.47,73.25,0.38,8.03
1.51645,13.40,3.49,1.52,72.65,0.67,8.08
1.51618,13.01,3.50,1.48,72.89,0.60,8.12
1.51640,12.55,3.48,1.87,73.23,0.63,8.08
1.51841,12.93,3.74,1.11,72.28,0.64,8.96
1.51605,12.90,3.44,1.45,73.06,0.44,8.27
1.51588,13.12,3.41,1.58,73.26,0.07,8.39
1.51590,13.24,3.34,1.47,73.10,0.39,8.22
1.51629,12.71,3.33,1.49,73.28,0.67,8.24
1.51860,13.36,3.43,1.43,72.26,0.51,8.60
1.51841,13.02,3.62,1.06,72.34,0.64,9.13
1.51743,12.20,3.25,1.16,73.55,0.62,8.90
1.51689,12.67,2.88,1.71,73.21,0.73,8.54
1.51811,12.96,2.96,1.43,72.92,0.60,8.79
1.51655,12.75,2.85,1.44,73.27,0.57,8.79
1.51730,12.35,2.72,1.63,72.87,0.70,9.23
1.51820,12.62,2.76,0.83,73.81,0.35,9.42
1.52725,13.80,3.15,0.66,70.57,0.08,11.64
1.52410,13.83,2.90,1.17,71.15,0.08,10.79
1.52475,11.45,0.00,1.88,72.19,0.81,13.24
1.53125,10.73,0.00,2.10,69.81,0.58,13.30
1.53393,12.30,0.00,1.00,70.16,0.12,16.19
1.52222,14.43,0.00,1.00,72.67,0.10,11.52
1.51818,13.72,0.00,0.56,74.45,0.00,10.99
1.52664,11.23,0.00,0.77,73.21,0.00,14.68
1.52739,11.02,0.00,0.75,73.08,0.00,14.96
1.52777,12.64,0.00,0.67,72.02,0.06,14.40
1.51892,13.46,3.83,1.26,72.55,0.57,8.21
1.51847,13.10,3.97,1.19,72.44,0.60,8.43
1.51846,13.41,3.89,1.33,72.38,0.51,8.28
1.51829,13.24,3.90,1.41,72.33,0.55,8.31
1.51708,13.72,3.68,1.81,72.06,0.64,7.88
1.51673,13.30,3.64,1.53,72.53,0.65,8.03
1.51652,13.56,3.57,1.47,72.45,0.64,7.96
1.51844,13.25,3.76,1.32,72.40,0.58,8.42
1.51663,12.93,3.54,1.62,72.96,0.64,8.03
1.51687,13.23,3.54,1.48,72.84,0.56,8.10
1.51707,13.48,3.48,1.71,72.52,0.62,7.99
1.52177,13.20,3.68,1.15,72.75,0.54,8.52
1.51872,12.93,3.66,1.56,72.51,0.58,8.55
1.51667,12.94,3.61,1.26,72.75,0.56,8.60
1.52081,13.78,2.28,1.43,71.99,0.49,9.85
1.52068,13.55,2.09,1.67,72.18,0.53,9.57
1.52020,13.98,1.35,1.63,71.76,0.39,10.56
1.52177,13.75,1.01,1.36,72.19,0.33,11.14
1.52614,13.70,0.00,1.36,71.24,0.19,13.44
1.51813,13.43,3.98,1.18,72.49,0.58,8.15
1.51800,13.71,3.93,1.54,71.81,0.54,8.21
1.51811,13.33,3.85,1.25,72.78,0.52,8.12
1.51789,13.19,3.90,1.30,72.33,0.55,8.44
1.51806,13.00,3.80,1.08,73.07,0.56,8.38
1.51711,12.89,3.62,1.57,72.96,0.61,8.11
1.51674,12.79,3.52,1.54,73.36,0.66,7.90
1.51674,12.87,3.56,1.64,73.14,0.65,7.99
1.51690,13.33,3.54,1.61,72.54,0.68,8.11
1.51851,13.20,3.63,1.07,72.83,0.57,8.41
1.51662,12.85,3.51,1.44,73.01,0.68,8.23
1.51709,13.00,3.47,1.79,72.72,0.66,8.18
1.51660,12.99,3.18,1.23,72.97,0.58,8.81
1.51839,12.85,3.67,1.24,72.57,0.62,8.68
